"Company","Item","Calories","Total.Fat..g.","Saturated.Fat..g.","Carbs..g.","Fiber..g.","Sugars..g.","Protein..g.","Salt.g","Category"
"McDonald’s","Butter Garlic Croutons",60,1.5,0,10,1,0,2,0.35,"Sides"
"McDonald’s","Snack Size Fruit & Walnut Salad",210,8,1.5,31,2,25,4,0.15,"Salads"
"McDonald’s","Newman’s Own® Creamy Southwest Dressing",100,6,1,11,0,3,1,0.85,"Condiments"
"McDonald’s","Newman’s Own® Creamy Caesar Dressing",190,18,3.5,4,0,2,2,1.25,"Condiments"
"McDonald’s","Newman’s Own® Low Fat Balsamic Vinaigrette",40,3,0,4,0,3,0,1.825,"Condiments"
"McDonald’s","Newman’s Own® Low Fat Family Recipe Italian Dressing",60,2.5,0,8,0,1,1,1.825,"Condiments"
"McDonald’s","Newman’s Own® Ranch Dressing",170,15,2.5,9,0,4,1,1.325,"Condiments"
"McDonald’s","Egg McMuffin®",300,12,5,30,2,3,18,2.05,"Breakfast"
"McDonald’s","Sausage McMuffin®",370,22,8,29,2,2,14,2.125,"Breakfast"
"McDonald’s","English Muffin",160,3,0.5,27,2,2,5,0.7,"Desserts"
"McDonald’s","Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",420,23,12,37,2,3,15,2.9,"Breakfast"
"McDonald’s","Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",480,27,12,43,3,4,15,3.175,"Breakfast"
"McDonald’s","Sausage Biscuit with Egg (Regular Size Biscuit)",510,33,14,36,2,2,18,2.925,"Breakfast"
"McDonald’s","Sausage Biscuit with Egg (Large Size Biscuit)",570,37,15,42,3,3,18,3.2,"Breakfast"
"McDonald’s","Sausage Biscuit (Regular Size Biscuit)",430,27,12,34,2,2,11,2.7,"Breakfast"
"McDonald’s","Sausage Biscuit (Large Size Biscuit)",480,31,13,39,3,3,11,2.975,"Breakfast"
"McDonald’s","Southern Style Chicken Biscuit (Regular Size Biscuit)",410,20,8,41,2,3,17,2.95,"Breakfast"
"McDonald’s","Southern Style Chicken Biscuit (Large Size Biscuit)",470,24,9,46,3,4,17,3.225,"Breakfast"
"McDonald’s","Steak, Egg & Cheese Bagel",660,33,12,56,3,7,33,3.95,"Breakfast"
"McDonald’s","Bacon, Egg & Cheese McGriddles®",420,18,8,48,2,15,15,2.775,"Breakfast"
"McDonald’s","Sausage, Egg & Cheese McGriddles®",560,32,12,48,2,15,20,3.4,"Breakfast"
"McDonald’s","Sausage McGriddles®",420,22,8,44,2,15,11,2.575,"Breakfast"
"McDonald’s","Big Breakfast® (Regular Size Biscuit)",740,48,17,51,3,3,28,3.9,"Breakfast"
"McDonald’s","Big Breakfast® (Large Size Biscuit)",800,52,18,56,4,3,28,4.2,"Breakfast"
"McDonald’s","Big Breakfast with Hotcakes (Regular Size Biscuit)",1090,56,19,111,6,17,36,5.375,"Breakfast"
"McDonald’s","Big Breakfast with Hotcakes (Large Size Biscuit)",1150,60,20,116,7,17,36,5.65,"Breakfast"
"McDonald’s","Sausage Burrito",300,16,7,26,1,2,12,2.075,"Burrito"
"McDonald’s","McSkillet™ Burrito with Sausage",610,36,14,44,3,4,27,3.475,"Burrito"
"McDonald’s","Hotcakes",350,9,2,60,3,14,8,1.475,"Desserts"
"McDonald’s","Hotcakes and Sausage",520,24,7,61,3,14,15,2.325,"Desserts"
"McDonald’s","Hotcake Syrup",180,0,0,45,0,32,0,0.05,"Desserts"
"McDonald’s","Whipped Margarine (1 pat)",40,4.5,1.5,0,0,0,0,0.1375,"Condiments"
"McDonald’s","Hash Brown",150,9,1.5,15,2,0,1,0.775,"Sides"
"McDonald’s","Grape Jam",35,0,0,9,0,9,0,0,"Condiments"
"McDonald’s","Strawberry Preserves",35,0,0,9,0,9,0,0,"Condiments"
"McDonald’s","Bacon, Egg & Cheese Bagel",560,27,9,56,3,7,24,3.25,"Breakfast"
"McDonald’s","Fruit & Maple Oatmeal",290,4.5,2,57,5,32,5,0.4,"Breakfast"
"McDonald’s","Fruit & Maple Oatmeal without Brown Sugar",260,4.5,2,48,5,18,5,0.2875,"Breakfast"
"McDonald’s","Hamburger Happy Meal",475,16,5.5,62,2,20,22,1.725,"Burgers"
"McDonald’s","4 Piece Chicken McNuggets Happy Meal",395,17,3.5,41,1,14,19,1.275,"Desserts"
"McDonald’s","6 Piece Chicken McNuggets® Happy Meal",475,22,4.5,46,2,14,24,1.7,"Desserts"
"McDonald’s","Fruit ‘n Yogurt Parfait (7 oz)",160,2,1,31,1,21,4,0.2125,"Desserts"
"McDonald’s","Low Fat Caramel Dip",70,0.5,0,15,0,9,0,0.0875,"Desserts"
"McDonald’s","Vanilla Reduced Fat Ice Cream Cone",150,3.5,2,24,0,18,4,0.15,"Desserts"
"McDonald’s","Kiddie Cone",45,1,0.5,8,0,6,1,0.05,"Desserts"
"McDonald’s","Strawberry Sundae",280,6,4,49,1,45,6,0.2375,"Desserts"
"McDonald’s","Hot Caramel Sundae",340,8,5,60,1,44,7,0.4,"Desserts"
"McDonald’s","Hot Fudge Sundae",330,10,7,54,2,48,8,0.45,"Desserts"
"McDonald’s","Peanuts (for Sundaes)",45,3.5,0.5,2,1,0,2,0,"Desserts"
"McDonald’s","McFlurry® with M&M’S® Candies (12 fl oz cup)",710,25,16,105,4,97,15,0.55,"Desserts"
"McDonald’s","McFlurry® with OREO® Cookies (12 fl oz cup)",580,19,10,89,3,73,13,0.8,"Desserts"
"McDonald’s","Baked Hot Apple Pie",250,13,7,32,4,13,2,0.425,"Desserts"
"McDonald’s","Cinnamon Melts",460,19,9,66,3,32,6,0.925,"Desserts"
"McDonald’s","McDonaldland® Cookies",260,8,2.5,43,1,13,4,0.75,"Desserts"
"McDonald’s","Chocolate Chip Cookie",160,8,3.5,21,1,15,2,0.225,"Desserts"
