"Company","Item","Energy..kcal.day.","Fat..g.day.","Saturated.fat..g.day.","Salt..g.day.","Carbohydrate..g.day.","Fibre..g.day..","Free.sugars..g.day.","Protein..g.day."
"McDonald’s","Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",420,23,12,2.9,37,2,3,15
"McDonald’s","Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",480,27,12,3.175,43,3,4,15
"McDonald’s","Sausage Biscuit with Egg (Regular Size Biscuit)",510,33,14,2.925,36,2,2,18
"McDonald’s","Sausage Biscuit with Egg (Large Size Biscuit)",570,37,15,3.2,42,3,3,18
"McDonald’s","Sausage Biscuit (Regular Size Biscuit)",430,27,12,2.7,34,2,2,11
"McDonald’s","Sausage Biscuit (Large Size Biscuit)",480,31,13,2.975,39,3,3,11
"McDonald’s","Southern Style Chicken Biscuit (Regular Size Biscuit)",410,20,8,2.95,41,2,3,17
"McDonald’s","Southern Style Chicken Biscuit (Large Size Biscuit)",470,24,9,3.225,46,3,4,17
"McDonald’s","Steak, Egg & Cheese Bagel",660,33,12,3.95,56,3,7,33
"McDonald’s","Bacon, Egg & Cheese McGriddles®",420,18,8,2.775,48,2,15,15
"McDonald’s","Sausage, Egg & Cheese McGriddles®",560,32,12,3.4,48,2,15,20
"McDonald’s","Sausage McGriddles®",420,22,8,2.575,44,2,15,11
"McDonald’s","Big Breakfast® (Regular Size Biscuit)",740,48,17,3.9,51,3,3,28
"McDonald’s","Big Breakfast® (Large Size Biscuit)",800,52,18,4.2,56,4,3,28
"McDonald’s","Big Breakfast with Hotcakes (Regular Size Biscuit)",1090,56,19,5.375,111,6,17,36
"McDonald’s","Big Breakfast with Hotcakes (Large Size Biscuit)",1150,60,20,5.65,116,7,17,36
"McDonald’s","Sausage Burrito",300,16,7,2.075,26,1,2,12
"McDonald’s","McSkillet™ Burrito with Sausage",610,36,14,3.475,44,3,4,27
"McDonald’s","Hotcakes",350,9,2,1.475,60,3,14,8
"McDonald’s","Hotcakes and Sausage",520,24,7,2.325,61,3,14,15
"McDonald’s","Hotcake Syrup",180,0,0,0.05,45,0,32,0
"McDonald’s","Whipped Margarine (1 pat)",40,4.5,1.5,0.1375,0,0,0,0
"McDonald’s","Hash Brown",150,9,1.5,0.775,15,2,0,1
"McDonald’s","Grape Jam",35,0,0,0,9,0,9,0
"McDonald’s","Strawberry Preserves",35,0,0,0,9,0,9,0
"McDonald’s","Bacon, Egg & Cheese Bagel",560,27,9,3.25,56,3,7,24
"McDonald’s","Fruit & Maple Oatmeal",290,4.5,2,0.4,57,5,32,5
"McDonald’s","Fruit & Maple Oatmeal without Brown Sugar",260,4.5,2,0.2875,48,5,18,5
"McDonald’s","Hamburger Happy Meal",475,16,5.5,1.725,62,2,20,22
"McDonald’s","4 Piece Chicken McNuggets Happy Meal",395,17,3.5,1.275,41,1,14,19
"McDonald’s","6 Piece Chicken McNuggets® Happy Meal",475,22,4.5,1.7,46,2,14,24
"McDonald’s","Fruit ‘n Yogurt Parfait (7 oz)",160,2,1,0.2125,31,1,21,4
"McDonald’s","Low Fat Caramel Dip",70,0.5,0,0.0875,15,0,9,0
"McDonald’s","Vanilla Reduced Fat Ice Cream Cone",150,3.5,2,0.15,24,0,18,4
"McDonald’s","Kiddie Cone",45,1,0.5,0.05,8,0,6,1
"McDonald’s","Strawberry Sundae",280,6,4,0.2375,49,1,45,6
"McDonald’s","Hot Caramel Sundae",340,8,5,0.4,60,1,44,7
"McDonald’s","Hot Fudge Sundae",330,10,7,0.45,54,2,48,8
"McDonald’s","Peanuts (for Sundaes)",45,3.5,0.5,0,2,1,0,2
"McDonald’s","McFlurry® with M&M’S® Candies (12 fl oz cup)",710,25,16,0.55,105,4,97,15
"McDonald’s","McFlurry® with OREO® Cookies (12 fl oz cup)",580,19,10,0.8,89,3,73,13
"McDonald’s","Baked Hot Apple Pie",250,13,7,0.425,32,4,13,2
"McDonald’s","Cinnamon Melts",460,19,9,0.925,66,3,32,6
"McDonald’s","McDonaldland® Cookies",260,8,2.5,0.75,43,1,13,4
"McDonald’s","Chocolate Chip Cookie",160,8,3.5,0.225,21,1,15,2
"McDonald’s","Oatmeal Raisin Cookie",150,6,2.5,0.3375,22,1,13,2
"McDonald’s","Sugar Cookie",160,7,3,0.3,21,0,11,2
"McDonald’s","Apple Dippers with Low Fat Caramel Dip",100,0.5,0,0.0875,23,0,15,0
"McDonald’s","Chocolate McCafé® Shake (12 fl oz cup)",580,17,10,0.6,94,1,77,11
"McDonald’s","Chocolate McCafé® Shake (16 fl oz cup)",720,20,12,0.75,119,1,98,15
"McDonald’s","Chocolate McCafé® Shake (22 fl oz cup)",880,24,15,0.925,147,1,121,18
"McDonald’s","Chocolate Triple Thick® Shake (12 fl oz cup)",440,10,6,0.475,76,1,63,10
"McDonald’s","Chocolate Triple Thick® Shake (16 fl oz cup)",580,14,8,0.625,102,1,84,13
"McDonald’s","Chocolate Triple Thick® Shake (21 fl oz cup)",770,18,11,0.825,134,1,111,18
"McDonald’s","Chocolate Triple Thick® Shake (32 fl oz cup)",1160,27,16,1.275,203,2,168,27
"McDonald’s","Snack Size McFlurry® with M&M’S® Candies",430,16,10,0.325,64,2,59,9
"McDonald’s","Snack Size McFlurry® with OREO® Cookies",340,12,6,0.5,53,2,43,8
"McDonald’s","Strawberry McCafé® Shake (12 fl oz cup)",570,17,10,0.425,92,0,79,11
"McDonald’s","Strawberry McCafé® Shake (16 fl oz cup)",710,20,12,0.525,116,0,100,14
"McDonald’s","Strawberry McCafé® Shake (22 fl oz cup)",860,24,15,0.65,144,0,124,18
"McDonald’s","Strawberry Triple Thick® Shake (12 fl oz cup)",420,10,6,0.325,73,0,63,10
"McDonald’s","Strawberry Triple Thick® Shake (16 fl oz cup)",560,13,8,0.425,97,0,84,13
"McDonald’s","Strawberry Triple Thick® Shake (21 fl oz cup)",740,18,11,0.575,128,0,111,17
"McDonald’s","Strawberry Triple Thick® Shake (32 fl oz cup)",1110,26,16,0.875,194,0,168,25
"McDonald’s","Vanilla McCafé® Shake (12 fl oz cup)",540,16,10,0.425,88,0,64,10
"McDonald’s","Vanilla McCafé® Shake (16 fl oz cup)",680,20,12,0.55,111,0,82,14
"McDonald’s","Vanilla McCafé® Shake (22 fl oz cup)",830,24,14,0.675,138,0,103,17
"McDonald’s","Vanilla Triple Thick Shake® (32 fl oz cup)",1110,26,16,0.925,193,0,145,25
"McDonald’s","Vanilla Triple Thick® Shake (12 fl oz cup)",420,10,6,0.35,72,0,54,9
"McDonald’s","Vanilla Triple Thick® Shake (16 fl oz cup)",550,13,8,0.475,96,0,72,13
"McDonald’s","Vanilla Triple Thick® Shake (21 fl oz cup)",740,18,11,0.625,128,0,96,17
"McDonald’s","1% Low Fat Milk Jug",100,2.5,1.5,0.3125,12,0,12,8
"McDonald’s","1% Low Fat Chocolate Milk Jug",170,3,1.5,0.375,26,1,25,9
"McDonald’s","Minute Maid® 100% Apple Juice Box",100,0,0,0.0375,23,0,22,0
"McDonald’s","Dasani® Water",0,0,0,0,0,0,0,0
"McDonald’s","Minute Maid® Orange Juice (Small)",150,0,0,0,30,0,30,2
"McDonald’s","Minute Maid® Orange Juice (Medium)",190,0,0,0,39,0,39,3
"McDonald’s","Minute Maid® Orange Juice (Large)",280,0,0,0.0125,58,0,58,4
"McDonald’s","Coca-Cola® Classic (Child)",110,0,0,0.0125,29,0,29,0
"McDonald’s","Coca-Cola® Classic (Small)",150,0,0,0.025,40,0,40,0
"McDonald’s","Coca-Cola® Classic (Medium)",210,0,0,0.0375,58,0,58,0
"McDonald’s","Coca-Cola® Classic (Large)",310,0,0,0.05,86,0,86,0
"McDonald’s","Diet Coke® (Child)",0,0,0,0.0375,0,0,0,0
"McDonald’s","Diet Coke® (Small)",0,0,0,0.05,0,0,0,0
"McDonald’s","Diet Coke® (Medium)",0,0,0,0.075,0,0,0,0
"McDonald’s","Diet Coke® (Large)",0,0,0,0.1125,0,0,0,0
"McDonald’s","Sprite® (Child)",110,0,0,0.075,28,0,28,0
"McDonald’s","Sprite® (Small)",150,0,0,0.1,39,0,39,0
"McDonald’s","Sprite® (Medium)",210,0,0,0.1375,56,0,56,0
"McDonald’s","Sprite® (Large)",310,0,0,0.2,83,0,83,0
"McDonald’s","Hi-C® Orange Lavaburst (Child)",120,0,0,0,32,0,32,0
"McDonald’s","Hi-C® Orange Lavaburst (Small)",160,0,0,0.0125,44,0,44,0
"McDonald’s","Hi-C® Orange Lavaburst (Medium)",240,0,0,0.025,64,0,64,0
"McDonald’s","Hi-C® Orange Lavaburst (Large)",350,0,0,0.025,94,0,94,0
"McDonald’s","POWERade® Mountain Blast (Child)",70,0,0,0.1625,20,0,16,0
